"county","state","home_affordability","cum_county","cum_home_affordability"
"Kings","California","4","14.34%","26.95%"
"Cassia","Idaho","4","14.37%","26.99%"
"Yakima","Washington","4","14.4%","27.04%"
"Pueblo","Colorado","4","14.44%","27.08%"
"Deer Lodge","Montana","4","14.47%","27.13%"
"Dawson","Georgia","4","14.5%","27.17%"
"Pennington","South Dakota","4","14.53%","27.21%"
"Brewster","Texas","4","14.56%","27.26%"
"Lee","Alabama","4","14.59%","27.3%"
"Columbia","New York","4","14.62%","27.34%"
"Gwinnett","Georgia","4","14.65%","27.39%"
"Providence","Rhode Island","4","14.68%","27.43%"
"Seminole","Florida","4","14.71%","27.48%"
"Juneau City and Borough","Alaska","4","14.74%","27.52%"
"Colusa","California","4","14.78%","27.56%"
"Torrance","New Mexico","4","14.81%","27.61%"
"Jackson","Tennessee","4","14.84%","27.65%"
"Stone","Arkansas","4","14.87%","27.69%"
"Glynn","Georgia","4","14.9%","27.74%"
"Trousdale","Tennessee","4","14.93%","27.78%"
"Bristol","Rhode Island","4","14.96%","27.82%"
"Grand Isle","Vermont","4","14.99%","27.87%"
"Brevard","Florida","4","15.02%","27.91%"
"Juab","Utah","4","15.05%","27.95%"
"Madison","Georgia","4","15.09%","28%"
"Wake","North Carolina","4","15.12%","28.04%"
"Valencia","New Mexico","4","15.15%","28.08%"
"Cannon","Tennessee","4","15.18%","28.13%"
"Bedford","Tennessee","4","15.21%","28.17%"
"Warren","North Carolina","4","15.24%","28.21%"
"Strafford","New Hampshire","4","15.27%","28.26%"
"Dickinson","Iowa","4","15.3%","28.3%"
"Loudon","Tennessee","4","15.33%","28.34%"
"Harrisonburg city","Virginia","4","15.36%","28.39%"
"Benzie","Michigan","4","15.39%","28.43%"
"Hall","Georgia","4","15.43%","28.47%"
"Pickens","Georgia","4","15.46%","28.51%"
"Doña Ana","New Mexico","4","15.49%","28.56%"
"Westmoreland","Virginia","4","15.52%","28.6%"
"Bingham","Idaho","4","15.55%","28.64%"
"Nelson","Virginia","4","15.58%","28.69%"
"Jefferson","Florida","4","15.61%","28.73%"
"Fairfax","Virginia","4","15.64%","28.77%"
"Iredell","North Carolina","4","15.67%","28.82%"
"Fulton","Georgia","4","15.7%","28.86%"
"Washington","Arkansas","4","15.73%","28.9%"
"Sublette","Wyoming","4","15.77%","28.94%"
"Cass","Minnesota","4","15.8%","28.99%"
"Alpine","California","4","15.83%","29.03%"
"Albemarle","Virginia","4","15.86%","29.07%"
"Lincoln","North Carolina","4","15.89%","29.11%"
"Ozark","Missouri","4","15.92%","29.16%"
"Bernalillo","New Mexico","4","15.95%","29.2%"
"Suffolk","New York","4","15.98%","29.24%"
"Somervell","Texas","4","16.01%","29.28%"
"Essex","Virginia","4","16.04%","29.33%"
"Petersburg Borough","Alaska","4","16.07%","29.37%"
"Lumpkin","Georgia","4","16.11%","29.41%"
"Overton","Tennessee","4","16.14%","29.45%"
"Okaloosa","Florida","4","16.17%","29.5%"
"Morgan","Georgia","4","16.2%","29.54%"
"Montgomery","Maryland","4","16.23%","29.58%"
"Moore","North Carolina","4","16.26%","29.62%"
"Jasper","Georgia","4","16.29%","29.67%"
"Hancock","Tennessee","4","16.32%","29.71%"
"Laramie","Wyoming","4","16.35%","29.75%"
"Shenandoah","Virginia","4","16.38%","29.79%"
"Addison","Vermont","4","16.41%","29.84%"
"Middlesex","Virginia","4","16.45%","29.88%"
"Haines Borough","Alaska","4","16.48%","29.92%"
"Union","Oregon","4","16.51%","29.96%"
"Becker","Minnesota","4","16.54%","30%"
"Rockingham","New Hampshire","4","16.57%","30.05%"
"Power","Idaho","4","16.6%","30.09%"
"Erath","Texas","4","16.63%","30.13%"
"Sioux","Nebraska","4","16.66%","30.17%"
"Grimes","Texas","4","16.69%","30.21%"
"Cumberland","Tennessee","4","16.72%","30.26%"
"Lincoln","Colorado","4","16.75%","30.3%"
"Monroe","Indiana","4","16.79%","30.34%"
"Duval","Florida","4","16.82%","30.38%"
